image_id,arquivo_local,url_origem,fonte,source_id,natureza,vista,subsistemas,ancoras_visiveis,resolucao_local,resolucao_maxima_publica,qualidade,distorcao_perspectiva,direitos,notas
IMG-0018,research/images/Richard_Mille_RM_UP_01_Ferrari_1000_0005.jpg,idem IMG-0014,Hum3D / 3DModels.org,SRC-0713,render_CG_terceiro,frontal de elevação,"CASE;IND;SEL;WND;STR",nenhuma confiável,1000x1000,desconhecida,inútil para metrologia,render,"(c) Hum3D/3DModels.org","A mais 'tentadora' da série (parece vista ortogonal). Justamente por isso é a mais perigosa: proibida como fonte de contorno."
IMG-0019,research/images/Richard_Mille_RM_UP_01_Ferrari_1000_0006.jpg,idem IMG-0014,Hum3D / 3DModels.org,SRC-0713,render_CG_terceiro,perfil com pulseira fechada,"CASE;STR",nenhuma confiável,1000x1000,desconhecida,inútil para metrologia,render,"(c) Hum3D/3DModels.org","A espessura aparente NÃO corresponde a 1,75 mm: o modelador engrossou a caixa. Contraexemplo útil."
IMG-0020,research/images/Richard_Mille_RM_UP_01_Ferrari_1000_0007.jpg,idem IMG-0014,Hum3D / 3DModels.org,SRC-0713,render_CG_terceiro,3/4 frontal alta,"CASE;IND;STR",nenhuma confiável,1000x1000,desconhecida,inútil para metrologia,render,"(c) Hum3D/3DModels.org","NÃO USAR COMO EVIDÊNCIA."
IMG-0021,research/images/Richard_Mille_RM_UP_01_Ferrari_1000_0008.jpg,idem IMG-0014,Hum3D / 3DModels.org,SRC-0713,render_CG_terceiro,3/4 traseira baixa,"CASE;FST;STR",nenhuma confiável,1000x1000,desconhecida,inútil para metrologia,render,"(c) Hum3D/3DModels.org","NÃO USAR COMO EVIDÊNCIA."
IMG-0022,research/images/Richard_Mille_RM_UP_01_Ferrari_1000_0009.jpg,idem IMG-0014,Hum3D / 3DModels.org,SRC-0713,render_CG_terceiro,3/4 frontal (hero),"CASE;IND;SEL;WND;STR",nenhuma confiável,1000x1000,desconhecida,inútil para metrologia,render,"(c) Hum3D/3DModels.org","O mostrador de horas é preto e o ponteiro é vermelho/branco: divergente das imagens oficiais. Erro do modelador."
IMG-0023,research/images/Richard_Mille_RM_UP_01_Ferrari_1000_0010.jpg,idem IMG-0014,Hum3D / 3DModels.org,SRC-0713,render_CG_terceiro,traseira com pulseira fechada,"CASE;FST;STR",nenhuma confiável,1000x1000,desconhecida,inútil para metrologia,render,"(c) Hum3D/3DModels.org","NÃO USAR COMO EVIDÊNCIA."
IMG-0024,research/images/Richard_Mille_RM_UP_01_Ferrari_1000_0011.jpg,idem IMG-0014,Hum3D / 3DModels.org,SRC-0713,render_CG_terceiro,3/4 traseira em clay (sem textura),"CASE;STR",nenhuma confiável,1000x1000,desconhecida,inútil para metrologia,"clay render","(c) Hum3D/3DModels.org","NÃO USAR COMO EVIDÊNCIA."
IMG-0025,research/images/Richard_Mille_RM_UP_01_Ferrari_1000_0012.jpg,idem IMG-0014,Hum3D / 3DModels.org,SRC-0713,render_CG_terceiro,3/4 traseira em clay,"CASE;STR",nenhuma confiável,1000x1000,desconhecida,inútil para metrologia,clay render,"(c) Hum3D/3DModels.org","NÃO USAR COMO EVIDÊNCIA."
IMG-0026,research/images/frames/VID-0001-key/IMG-VID0001-K025_42.png,https://media.richardmille.com/wp-content/uploads/2022/07/05210707/RMUP-01_SF_EN.mp4 (t=25.42 s),Richard Mille (filme savoir-faire),SRC-0009,quadro_de_video,platina nua no suporte; plano quase nadir,"BASE;WND;SEL;TRN;JWL;FST","contorno completo da platina; roda de cliquet e roda de coroa montadas; abertura do barrilete; recortes do lado do trem",1920x1080,1920x1080,"alta para 1080p (quadro mais nítido da janela 22,5-25,5 s)","baixa: câmera quase perpendicular; o suporte impõe um plano de referência","(c) Richard Mille; corpus privado de pesquisa; não republicar","MELHOR imagem existente no corpus da PLATINA NUA. É aqui que estão os centros de rotação reais, sem pontes cobrindo. Prioridade máxima para landmarks da Fase 5."
IMG-0027,research/images/frames/VID-0001-key/IMG-VID0001-K068_46.png,idem (t=68.46 s),Richard Mille (filme savoir-faire),SRC-0009,quadro_de_video,movimento montado dentro da caixa; plano quase nadir,"BASE;BRG;BAR;TRN;ESC;OSC;IND;SEL;WND;CASE","movimento e caixa no mesmo quadro: permite amarrar a folga movimento-caixa (Q-BASE-002)",1920x1080,1920x1080,alta,"baixa a moderada; paralaxe nas bordas da caixa","(c) Richard Mille; corpus privado de pesquisa; não republicar","Único material do corpus que mostra movimento E caixa na mesma projeção com o movimento ainda visível. Chave para a Fase 3."
IMG-0028,research/images/frames/VID-0001-key/IMG-VID0001-K039_46.png,idem (t=39.46 s),Richard Mille (filme savoir-faire),SRC-0009,quadro_de_video,ponte de 3 braços em pinça (mesma peça de IMG-0003),"BRG;JWL;FST",3 rubis; furos de fixação,1920x1080,1920x1080,média,forte,"(c) Richard Mille; corpus privado de pesquisa; não republicar","Segunda vista da mesma ponte, em ângulo diferente de IMG-0003: par utilizável para reconstrução da peça por duas vistas."
IMG-0029,research/images/frames/VID-0001-key/IMG-VID0001-K052_74.png,idem (t=52.74 s),Richard Mille (filme savoir-faire),SRC-0009,quadro_de_video,macro da região balanço/barrilete,"OSC;ESC;BAR;BRG;SHK","dentado do barrilete parcialmente resolvido; braços do balanço",1920x1080,1920x1080,média,moderada,"(c) Richard Mille; corpus privado de pesquisa; não republicar","Candidato a contagem de dentes do barrilete por periodicidade angular de borda (CLAUDE.md §7)."
IMG-0030,research/images/frames/VID-0001-key/IMG-VID0001-K058_88.png,idem (t=58.88 s),Richard Mille (filme savoir-faire),SRC-0009,quadro_de_video,ponteiro visto de perfil sobre pinça,"IND",espessura do ponteiro comparada à ponta da pinça,1920x1080,1920x1080,média,forte,"(c) Richard Mille; corpus privado de pesquisa; não republicar","Evidência visual direta de que o ponteiro é uma lâmina plana decalcada, sem canhão — sustenta a arquitetura de indicação sem motion works clássico."
IMG-0031,research/images/frames/VID-0001-key/IMG-VID0001-K080_48.png,idem (t=80.48 s),Richard Mille (filme savoir-faire),SRC-0009,quadro_de_video,macro das rodas de indicação com ponteiros montados,"IND;TRN;JWL",ponteiro montado diretamente sobre a roda; dentado fino da roda das horas,1920x1080,1920x1080,média,moderada,"(c) Richard Mille; corpus privado de pesquisa; não republicar","Imagem-chave para Q-IND-001 e Q-IND-002: mostra o acoplamento ponteiro-roda de perto."
IMG-0032,research/images/frames/VID-0001-key/IMG-VID0001-K098_44.png,idem (t=98.44 s),Richard Mille (filme savoir-faire),SRC-0009,quadro_de_video,macro do comando HOURS/WINDING na luneta,"CASE;WND;SEL;FST",gravações e estrias do comando,1920x1080,1920x1080,média,moderada,"(c) Richard Mille; corpus privado de pesquisa; não republicar","Versão em vídeo de IMG-0006; confirma que os dois comandos são iguais."
IMG-0033,research/images/frames/VID-0001-key/IMG-VID0001-K020_40.png,idem (t=20.40 s),Richard Mille (filme savoir-faire),SRC-0009,quadro_de_video,perfil rasante do relógio sobre couro,"CASE;CRY;STR","silhueta de 1,75 mm",1920x1080,1920x1080,baixa,"muito forte (rasante deliberado)","(c) Richard Mille; corpus privado de pesquisa; não republicar","Cinematográfico; pouco valor métrico. Registrado porque é a sequência que o filme associa à legenda 'At just 1.75 millimetres thick'."
IMG-0034,research/images/frames/VID-0001-key/IMG-VID0001-K144_66.png,idem (t=144.66 s),Richard Mille (filme savoir-faire),SRC-0009,quadro_de_video,fundo do relógio em plano,"CASE;FST;WND;SEL;STR",contorno do fundo; 2 comandos; gravações,1920x1080,1920x1080,média,baixa,"(c) Richard Mille; corpus privado de pesquisa; não republicar","Complementa IMG-0010 com resolução equivalente e iluminação diferente."
IMG-0035,research/images/frames/VID-0001-key/IMG-VID0001-K147_62.png,idem (t=147.62 s),Richard Mille (filme savoir-faire),SRC-0009,quadro_de_video,plano do calibre (render CG dentro do filme),"BASE;BRG;BAR;TRN;ESC;OSC;SEL;WND",idem IMG-0001,1920x1080,1920x1080,média,baixa,"(c) Richard Mille; corpus privado de pesquisa; não republicar","Mesma família de render de IMG-0001, em outra pose: par útil para detectar o que é geometria e o que é licença artística do render."
IMG-0036,research/images/frames/VID-0002/IMG-VID0002-F000001.jpg,https://media.richardmille.com/wp-content/uploads/2022/07/05210742/caliber.mp4 (t=0.00 s),Richard Mille (animação do produto),SRC-0010,render_CG_oficial,detalhe do mostrador de horas e da abertura do balanço,"IND;OSC;CRY;CASE","mostrador 12/3/6/9; ponteiro de horas e de minutos; balanço de 3 braços sob a safira",1920x1200,1920x1200,média,baixa,"(c) Richard Mille; corpus privado de pesquisa; não republicar","O vídeo inteiro (0,72 s, 18 quadros) é um único travelling curto sobre esta região. Valor: layout da indicação e do balanço; nada mais."
