claim_id,subsystem,statement,evidence_class,source_ids,parameter_id,status,created_at,notes
CLM-0011,ESC,"Angulo de levantamento publicado: 54 graus.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,P_ESC_LIFT_ANGLE,confirmed,2026-09-20,"Restricao dura para a geometria do escape."
CLM-0012,OSC,"Frequencia de 28.800 alternancias/h (4 Hz).",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,P_OSC_FREQUENCY,confirmed,2026-09-20,
CLM-0013,OSC,"Espiral: AK 3.",A,SRC-0001;SRC-0002;SRC-0006,,confirmed,2026-09-20,"AK 3 e designacao de liga/tipo de espiral; geometria (numero de voltas, secao, curva terminal) nao publicada (Q-OSC-002)."
CLM-0014,SHK,"Protecao contra choque: Kif.",A,SRC-0001;SRC-0002;SRC-0006,,confirmed,2026-09-20,"O modelo exato do para-choque Kif nao e publicado (Q-SHK-001)."
CLM-0015,BASE,"Platina e pontes sao de titanio grau 5; a platina e esqueletada.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0006,,confirmed,2026-09-20,
CLM-0016,BASE,"A liga usada e 90% titanio, 6% aluminio e 4% vanadio.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0006,,confirmed,2026-09-20,"Ti-6Al-4V. O texto ingles de SRC-0006 escreve '90% grade 5 titanium', erro evidente de redacao; a versao do site (SRC-0001) diz '90% titanium'."
CLM-0017,BASE,"O calibre RMUP-01 suporta aceleracoes superiores a 5.000 g.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006;SRC-0007,,confirmed,2026-09-20,
CLM-0018,SEL,"O seletor de funcao e integrado a luneta, fica entre 10h e 11h e escolhe corda (W) ou acerto (H) por simples rotacao da coroa.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0006,,confirmed,2026-09-20,"Define a posicao angular aproximada do centro do seletor no plano."
CLM-0019,WND,"A segunda coroa, entre 7h e 8h, executa a funcao selecionada (dar corda no barrilete ou acertar a hora).",A,SRC-0001;SRC-0002;SRC-0003;SRC-0006,,confirmed,2026-09-20,
CLM-0020,CASE,"Ao redor das coroas, dois insertos de ceramica preta protegem a luneta do atrito e asseguram a estanqueidade.",A,SRC-0001;SRC-0002;SRC-0006,,confirmed,2026-09-20,
CLM-0021,ESC,"O escape ultraplano patenteado elimina o dard (guard pin) e o pequeno plateau (safety roller) e transfere a funcao anti-renversement para a propria forquilha da ancora, que foi alongada e teve as cornes modificadas; a ancora sem dard fica bem mais baixa.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,,confirmed,2026-09-20,"Topologia, nao geometria. Casa com a familia EP3754433A1 a ser tratada no TASK-P1-002. Termos originais fr: dard, petit plateau du balancier, fourchette, cornes."
CLM-0022,OSC,"O indice de raquete foi eliminado; a regulagem e feita por 6 massas ajustaveis montadas diretamente no balanco de inercia variavel.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0006,,confirmed,2026-09-20,
CLM-0023,BAR,"Barrilete de rotacao rapida: uma volta em 6 horas em vez de 7,5 horas.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,P_BAR_TURN_PERIOD,confirmed,2026-09-20,"O texto e exato ('6 hours per revolution'), nao 'aproximadamente 6 h' como supunha o CLAUDE.md 2. 45 h / 6 h = 7,5 voltas uteis de desenvolvimento."
CLM-0024,TRN,"A dentacao do barrilete e o pinhao da terceira roda tem perfil involuta central com angulo de pressao de 20 graus.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,P_TRN_PRESSURE_ANGLE,confirmed,2026-09-20,"Nomenclatura divergente entre idiomas: en 'third-wheel pinion', fr 'pignon de moyenne', ja 三番車カナ, zh 过轮小齿轮. Ver Q-TRN-001."
CLM-0025,CASE,"A caixa e usinada inteiramente em titanio grau 5, com carrura e fundo monobloco mais luneta.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,,confirmed,2026-09-20,
CLM-0026,CASE,"Estanqueidade de 1 atm (10 m), garantida pela construcao monobloco.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,P_CASE_WATER_RESISTANCE,confirmed,2026-09-20,
CLM-0027,FST,"A caixa e montada com 13 parafusos spline em titanio grau 5 e arruelas resistentes a abrasao em aco inoxidavel 316L.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,P_CASE_SCREW_COUNT,confirmed,2026-09-20,"Segundo Boillat (SRC-0006), os 13 parafusos prendem tambem a pulseira (CLM-0053)."
CLM-0028,CASE,"Por causa do perfil baixo, todos os componentes sao usinados no departamento de movimentos da Richard Mille, com tolerancia de usinagem de 1 micron.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,,confirmed,2026-09-20,"'1 micron' e afirmacao de marketing tecnico sobre capacidade de processo; nao e uma tolerancia de peca especificada. Nao usar como tolerancia de projeto sem qualificacao."
CLM-0029,CRY,"Cristais de safira (1.800 Vickers) com tratamento antirreflexo dos dois lados; mostrador das horas 0,45 mm; mostrador do balanco 0,20 mm no centro e 0,30 mm nas bordas.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,P_CRY_HOURS_THICKNESS;P_CRY_BALANCE_THICKNESS_CENTER;P_CRY_BALANCE_THICKNESS_EDGE,contested,2026-09-20,"Contradita por CLM-0052 (narrativa do mesmo comunicado: ambos os cristais a 2/10 mm). A ficha tecnica e mais especifica e aparece em cinco idiomas; adotada como valor preferido. Ver Q-CRY-001."
CLM-0030,CASE,"O modelo resultou de anos de trabalho, dezenas de prototipos e mais de 6.000 horas de desenvolvimento e ensaios de laboratorio.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006;SRC-0007,,confirmed,2026-09-20,"O proprio comunicado detalha 3.600 + 2.400 + 2.000 = 8.000 h (CLM-0046): 'mais de 6.000' e consistente, mas as duas cifras nao sao a mesma coisa."
CLM-0031,CASE,"A arquitetura e tradicional: o movimento e montado dentro de uma caixa de verdade, e nao numa construcao em que o fundo faz as vezes de platina, para garantir resistencia total ao choque.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0006;SRC-0007,,confirmed,2026-09-20,"Decisivo para o modelo: o movimento e um corpo separavel, com interface propria com a caixa."
CLM-0032,CASE,"Movimento e caixa formam uma simbiose em que cada um garante a rigidez do outro; o que nao podia ser empilhado foi distribuido por uma superficie maior.",A,SRC-0001;SRC-0002;SRC-0006;SRC-0007,,confirmed,2026-09-20,"Nao contradiz CLM-0031: rigidez mutua, mas o movimento continua independente."
CLM-0033,BASE,"O movimento RMUP-01 pesa 2,82 gramas.",A,SRC-0006;SRC-0007,P_MOV_MASS,confirmed,2026-09-20,"Nao esta na pagina do produto; esta no comunicado e na Ferrari. Restricao de massa de primeira ordem para auditar o CAD inteiro do movimento."
CLM-0034,BASE,"Acabamentos do movimento: platina em titanio grau 5 retificada a mao e jateada a umido; pontes em titanio grau 5 jateadas a umido com face superior polida a mao; secoes de encaixe polidas a mao; pivos brunidos; escareados polidos a diamante do lado das pontes; pinhoes com undercut.",A,SRC-0001;SRC-0006,,confirmed,2026-09-20,"'Pinions with undercuts' (pignons avec degagements) e informacao geometrica util: os pinhoes tem alivio no pe do dente."
CLM-0035,CASE,"Dimensoes do relogio: 51,00 x 39,00 x 1,75 mm.",A,SRC-0006,P_CASE_LENGTH;P_CASE_WIDTH,confirmed,2026-09-20,"No comunicado a linha 'Dimensions : 51.00 x 39.00 x 1.75 mm' aparece sob o titulo do calibre, mas os numeros so podem ser da caixa (o calibre e 41,45 x 28,85 x 1,18). Nao publicada na pagina do produto. Folga no plano: 51,00-41,45 = 9,55 mm e 39,00-28,85 = 10,15 mm repartidos entre os dois lados."
CLM-0036,WND,"Para chegar a essa espessura foi preciso repensar a corda e eliminar a tige de remontoir, cujo diametro minimo de 1,5 mm nao cabia; no lugar dela as duas coroas foram integradas a caixa como rodas do proprio calibre.",A,SRC-0006;SRC-0007;SRC-0008,,confirmed,2026-09-20,"Fato arquitetonico central de WND/SEL: nao existe haste de corda. As coroas sao rodas dentadas que engrenam no movimento. Boillat: 'the crowns designed without winding stems, which are neither more nor less than the wheels of the calibre itself'."
CLM-0037,IND,"As aiguilles sao decalcadas diretamente sobre as rodas ('aiguilles directement decalquees sur les roues'), eliminando os canons das aiguilles para ganhar espessura.",A,SRC-0006;SRC-0008,,confirmed,2026-09-20,"Elimina o motion works classico (canon pinion + roda das horas empilhados). A hora e o minuto saem de rodas que carregam os ponteiros diretamente. Restringe fortemente a Fase 11."
CLM-0038,CASE,"As normas relojoeiras pedem secao minima de 0,35 mm em certos pontos da caixa; no RM UP-01 ha regioes com 0,18 mm de material, sobretudo carrura e fundo.",A,SRC-0006,,confirmed,2026-09-20,"Declaracao de Julien Boillat. Piso de espessura de parede para o CAD da caixa."
CLM-0039,BAR,"O barrilete extraplano e patenteado e usa uma mola extremamente fina; tem menos de 1,18 mm de espessura.",A,SRC-0006;SRC-0008,,confirmed,2026-09-20,"O release ingles traduz 'ressort' por 'hairspring' numa das passagens (Arbona) e por 'fine-gauge spring' noutra; o original frances (SRC-0008) diz 'ressort extremement fin' no contexto do barrilete, ou seja mola de barrilete. Existe portanto uma segunda patente, do barrilete, alem da do escape: insumo para o TASK-P1-002."
CLM-0040,TRN,"Acabamento das rodas: chanfro concavo com ferramenta de diamante, faces alisadas circularmente, rodiagem antes de cortar os dentes e correcoes minimas para preservar geometria e desempenho.",A,SRC-0001;SRC-0006,,confirmed,2026-09-20,"'Rhodium plating (before cutting the teeth)' implica que a espessura do deposito nao entra no perfil do dente."
CLM-0041,BASE,"A platina esqueletada passou por ensaios de validacao separados e extensos para atender a requisitos de resistencia.",A,SRC-0001;SRC-0006,,confirmed,2026-09-20,
CLM-0042,CASE,"Fundo e luneta sao acetinados com biseis polidos; o cavalo rampante e todas as referencias da caixa sao gravados a laser.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0005;SRC-0006,,confirmed,2026-09-20,
CLM-0043,WND,"A coroa e em aco inoxidavel 316L com tratamento DLC.",A,SRC-0006,,provisional,2026-09-20,"So aparece na ficha tecnica do comunicado, nao na pagina do produto. Convive com CLM-0036 (as coroas sao rodas do calibre): DLC provavelmente se refere a peca de comando visivel. Ver Q-WND-002."
CLM-0044,ESC,"O novo escape oferece o mesmo nivel de seguranca de um escape de ancora suica convencional.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,,confirmed,2026-09-20,"Afirmacao de equivalencia funcional, nao de geometria. O ja usa 安定性 (estabilidade) em vez de seguranca."
CLM-0045,BAR,"Salvador Arbona: as inovacoes principais sao um barrilete extraplano com menos de 1,18 mm de espessura, o novo escape ultraplano patenteado com ancora sem dard, forquilha alongada e cornes novas, e o balanco em titanio, um primeiro para a marca.",A,SRC-0006,,confirmed,2026-09-20,"Declaracao direta do diretor tecnico de movimentos (CLAUDE.md 1, classe A). 'Menos de 1,18 mm' e um limite superior, nao um valor."
CLM-0046,CASE,"Aos 3.600 horas de desenvolvimento do movimento somam-se 2.400 horas de concepcao funcional e 2.000 horas de trabalho na caixa.",A,SRC-0006,,confirmed,2026-09-20,"Total 8.000 h, contra o 'mais de 6.000 h' da comunicacao geral (CLM-0030). Ver Q-DOC-001."
CLM-0047,CASE,"O programa de ensaios incluiu desgaste (envelhecimento acelerado de 10 anos), estanqueidade, torcao, flexao e choque, notadamente o pendulo de Charpy, que certifica resistencia a aceleracoes acima de 5.000 g.",A,SRC-0006,,confirmed,2026-09-20,
CLM-0048,CASE,"Julien Boillat: cerca de dez impressoes 3D para achar a geometria ideal e cerca de vinte prototipos em varios materiais metalicos ate o mecanismo definitivo.",A,SRC-0006,,confirmed,2026-09-20,"Contrasta com a cifra de '50 prototipos' que circula na imprensa francesa; a declaracao do responsavel tecnico e a fonte forte."
CLM-0049,CASE,"Yves Mathys e Julien Boillat: partiu-se da forma tonneau alongada do RM 67-01 (calibre de 3,6 mm), com espessura de caixa inicialmente fixada em 3 mm, considerada ainda muito espessa.",A,SRC-0006,,confirmed,2026-09-20,"Linhagem formal util para a Fase 4: o contorno deriva do RM 67-01, alongado."
CLM-0050,CASE,"A forma tonneau do RM UP-01 e alongada no segmento 3h-9h.",A,SRC-0006,,confirmed,2026-09-20,"Coerente com caixa 51,00 x 39,00 mm (CLM-0035): o eixo maior e o 3h-9h."
CLM-0051,WND,"As coroas podem ser manipuladas com os dedos ou com uma ferramenta dedicada entregue com o relogio.",A,SRC-0006,,confirmed,2026-09-20,
CLM-0052,CRY,"Os dois cristais de safira foram afinados a 2/10 de milimetro, sendo que os cristais mais finos da marca antes disso eram de no minimo 8/10.",A,SRC-0006;SRC-0008,,contested,2026-09-20,"Contradiz CLM-0029 (0,45 mm no cristal das horas). Hipotese H-CRY-001: '2/10' descreve o cristal do balanco e o texto narrativo generalizou. Ver Q-CRY-001."
CLM-0053,FST,"Os 13 parafusos spline prendem os componentes da caixa e tambem a pulseira.",A,SRC-0006;SRC-0008,,provisional,2026-09-20,"Declaracao de Boillat. Se parte dos 13 for da interface da pulseira, a contagem de parafusos puramente de caixa e menor. Ver Q-FST-001."
CLM-0054,ESC,"O escape foi desenvolvido conjuntamente por engenheiros da Audemars Piguet Le Locle e da Richard Mille.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0006,,confirmed,2026-09-20,"Sustenta a busca de patentes por cessionario ligado a Audemars Piguet no TASK-P1-002."
CLM-0055,CASE,"A parceria Ferrari-Richard Mille foi firmada em 2021; o RM UP-01 Ferrari e o primeiro relogio nascido dela, apresentado em 05/07/2022.",A,SRC-0001;SRC-0006;SRC-0007,,confirmed,2026-09-20,"Data de 05/07/2022 vem do carimbo do comunicado em SRC-0006."
CLM-0056,CRY,"Ha dois cristais: um sobre as indicacoes horarias e outro sobre o orgao regulador (conjunto balanco-espiral), com diametro calculado para garantir resistencia nos ensaios.",A,SRC-0006;SRC-0008,,confirmed,2026-09-20,"'Diametro' sugere cristais circulares; confirmar por imagem no TASK-P1-004."
CLM-0057,CRY,"Antes do RM UP-01, os cristais mais finos da Richard Mille tinham no minimo 0,8 mm.",A,SRC-0006,,confirmed,2026-09-20,
CLM-0058,IND,"A Richard Mille publica na propria pagina do produto dois videos oficiais, RMUP-01_SF_EN.mp4 e caliber.mp4, servidos por media.richardmille.com.",B,SRC-0009;SRC-0010,,confirmed,2026-09-20,"Estabelece a procedencia dos dois arquivos de video entregues por Pedro (DEC-002): nomes e host batem. Conteudo nao analisado neste pacote."
CLM-0059,CASE,"A pagina oficial oferece um visualizador 360 graus e quatro vistas nomeadas: Top view, Right view, Back view e Left view.",B,SRC-0012,,confirmed,2026-09-20,"Material candidato a ortogonalizacao na Fase 4; extracao fica para o TASK-P1-004."
CLM-0400,BAR,"O barrilete esqueletado ocupa aproximadamente o centro do movimento, com o trem de marcha à direita e os comandos de corda/ajuste à esquerda (orientação do relógio montado).",B,"SRC-0400,SRC-0403",,provisional,2026-09-21,"Visível em fotos de montagem reproduzidas pelas duas fontes. Atenção: na foto de encaixotamento da Hodinkee o movimento aparece girado 180°, o que não pode ser ignorado em metrologia."
CLM-0401,BAR,"O barrilete não possui mancal (ponte/receptáculo) acima nem abaixo: é retido apenas pela periferia.",B,"SRC-0403,SRC-0400",,provisional,2026-09-21,"Suzuki (Chronos) afirma que não há receptáculos em cima e embaixo, provavelmente para maximizar a altura do barrilete, isto é, a largura da mola. Forster descreve o barrilete estabilizado por elementos na periferia. Conclusão estrutural de primeira ordem para o Z-budget."
CLM-0402,BAR,"Os apoios periféricos do barrilete são descritos como quatro buchas de berílio-cobre (Chronos) e como roletes (Hodinkee).",B,"SRC-0403,SRC-0400",,contested,2026-09-21,"Mesma peça vista por dois observadores com nomenclatura diferente, ou peças diferentes. A contagem de quatro só aparece em SRC-0403. Ver Q-BAR-001 e H-BAR-001."
CLM-0403,BAR,"O barrilete extraplano tem espessura inferior a 1,18 mm e usa uma mola principal de espessura extremamente reduzida.",A,"SRC-0412,SRC-0413",,provisional,2026-09-21,"Declaração de Salvador Arbona no dossiê de imprensa. 1,18 mm é teto, não medida: a espessura real do barrilete permanece desconhecida (Q-BAR-003). Nota de tradução: a versão inglesa fala em hairspring onde o original trata da mola de barrilete."
CLM-0404,BAR,"O barrilete é de rotação rápida: uma volta a cada 6 h, contra cerca de 7,5 h de um barrilete tradicional; a justificativa publicada é reduzir fenômenos de aderência da mola.",A,"SRC-0412,SRC-0414",P_BAR_TURN_PERIOD,provisional,2026-09-21,"Confirma a âncora do CLAUDE.md §2 por via secundária (reprodução do press kit). A comparação explícita com 7,5 h é restrição útil para o solver do trem."
CLM-0405,TRN,"O trem de marcha fica à direita do barrilete, completamente coberto pela parte superior da caixa (sob o logo Ferrari), e aciona escape e balanço.",B,SRC-0400,,provisional,2026-09-21,"Implica que boa parte do trem NÃO é visível no relógio montado: a evidência geométrica virá de fotos de montagem e do vídeo, não do relógio pronto."
CLM-0406,TRN,"Existe uma roda intermediária de transmissão entre o barrilete e a segunda roda.",B,SRC-0403,,provisional,2026-09-21,"Suzuki identifica a segunda roda como a peça presa pela pinça na primeira foto da matéria. Estágio extra que precisa entrar no solver do trem."
CLM-0407,TRN,"A relação entre segunda roda e roda intermediária de transmissão aparenta ser 1:1, provavelmente para evitar sobreposição.",D,SRC-0403,,contested,2026-09-21,"O próprio autor usa formulação de conjetura (ようなので). Tratar como candidato a restrição, nunca como razão confirmada. Ver Q-TRN-002."
CLM-0408,TRN,"O dentado do winding-barrel e o pinhão da terceira roda usam perfil involuta central com ângulo de pressão de 20°.",A,"SRC-0412,SRC-0414",P_TRN_PRESSURE_ANGLE,provisional,2026-09-21,"Reprodução da ficha técnica RM. Confirma a âncora do §2 por via secundária."
CLM-0409,ESC,"O escape é de âncora (lever) com roda de escape de dentes em clave praticamente convencional; as modificações estão na âncora e no plateau, não na roda.",B,"SRC-0400,SRC-0401,SRC-0405",,provisional,2026-09-21,"Importante para a Fase 9: a baseline suíça vale para a roda; o desvio está no conjunto âncora/segurança."
CLM-0410,ESC,"O escape suprime o dard/guard pin e o plateau de segurança (safety roller) convencionais.",A,"SRC-0412,SRC-0402,SRC-0411,SRC-0414",,provisional,2026-09-21,"Declaração do fabricante repetida por toda a imprensa e coerente com a família de patentes de Giulio Papi (EP3754433A1), a ser tratada no TASK-P1-002."
CLM-0411,ESC,"A âncora está em configuração lateral (side lever) em relação ao balanço.",B,SRC-0400,,provisional,2026-09-21,"Observação de Forster sobre a disposição; precisa ser confirmada em imagem de alta resolução com os três centros (escape, âncora, balanço) visíveis."
CLM-0412,ESC,"A âncora bate diretamente contra um entalhe usinado na platina (banking sólido), em vez de pinos de banking.",B,SRC-0400,,provisional,2026-09-21,"Forster descreve a ponta superior da âncora apoiando num entalhe feito para recebê-la. Restrição geométrica forte para a platina: o entalhe define o ângulo total de movimento da âncora."
CLM-0413,ESC,"O pivô da âncora situa-se entre as duas pedras de pallet.",B,"SRC-0400,SRC-0401",,provisional,2026-09-21,"Visível no still do vídeo oficial. Combinado com CLM-0412, restringe bastante a topologia da âncora."
CLM-0414,ESC,"A geometria das pedras de pallet em rubi foi alterada para garantir travamento seguro sem os elementos de segurança convencionais.",A,"SRC-0400,SRC-0412",,provisional,2026-09-21,"Consistente com a patente; a forma exata não é pública."
CLM-0415,ESC,"A função anti-inversão é assumida por uma fourchette alongada com cornes redesenhadas, e a função de banking foi transferida para a própria fourchette/âncora.",A,"SRC-0412,SRC-0402,SRC-0411",,provisional,2026-09-21,"Formulação do press kit. Convive com CLM-0412 (banking contra a platina) descrevendo o mesmo conjunto por ângulos diferentes; verificar se são compatíveis ao modelar."
CLM-0416,OSC,"O balanço é freesprung, com massas de regulagem ajustáveis e espiral plana (sem overcoil).",B,"SRC-0400,SRC-0412",,provisional,2026-09-21,"A ausência de overcoil é imposta pela altura: consequência direta do orçamento vertical."
CLM-0417,OSC,"Os braços do balanço têm um degrau que permite à espiral ficar mais próxima do plano do balanço.",B,SRC-0400,,provisional,2026-09-21,"Detalhe geométrico de alto valor para o CAD do oscilador: implica que o plano da espiral invade a altura do aro do balanço."
CLM-0418,OSC,"O conjunto do balanço é retido por uma ponte superior de três braços.",B,SRC-0400,,contested,2026-09-21,"A RM publica balanço de três braços; Forster fala em ponte de três braços e diz que isso dá ao conjunto aparência de turbilhão. Pode haver três braços nos dois elementos, ou confusão entre eles. Ver Q-OSC-001."
CLM-0419,IND,"Os ponteiros de horas e minutos estão fixados diretamente sobre rodas do movimento, sem canhão nem roda de ponteiros empilhada.",A,"SRC-0412,SRC-0404,SRC-0410,SRC-0415",,provisional,2026-09-21,"A roda passa a ser o suporte do ponteiro. Consequência: a indicação não acrescenta um andar ao empilhamento."
CLM-0420,IND,"O eixo da indicação se apoia contra o cristal, o que ajuda a suprimir a deformação do cristal.",D,SRC-0404,,provisional,2026-09-21,"Explicação de Hirota após manusear o relógio. Se confirmada, é interface mecânica cristal-movimento (IFC) e muda o Z-budget da região da indicação. Precisa de confirmação primária (Q-IND-003)."
CLM-0421,IND,"A indicação pode ser acionada por um trem próprio, à esquerda, movido pela rotação do barrilete, e não pela primeira roda do trem de marcha.",E,SRC-0400,,provisional,2026-09-21,"Forster apresenta isto explicitamente como leitura pessoal das fotos (looks to me as if). Hipótese H-IND-001. Não usar como fato."
CLM-0422,SEL,"Girar o seletor superior desloca um braço deslizante: para a direita ele engata o trem de corda do barrilete; para a esquerda engata o acerto dos ponteiros e desacopla o barrilete.",B,"SRC-0400,SRC-0401",,provisional,2026-09-21,"Observado em still do vídeo oficial, com o braço identificado ao lado da pinça. Base da máquina de estados W/H da Fase 8. O sentido (direita = W) é o observado na orientação daquela imagem, não necessariamente na do relógio montado."
CLM-0423,WND,"Não há haste de corda: as duas coroas frontais são rodas integradas ao próprio movimento, operadas por ferramenta dedicada de cinco entalhes (spline).",A,"SRC-0412,SRC-0402,SRC-0409,SRC-0400",,provisional,2026-09-21,"A coroa superior seleciona W/H, a inferior executa a função. A chave dedicada acompanha o relógio (SRC-0409)."
CLM-0424,WND,"A haste tradicional foi descartada porque seu diâmetro mínimo de cerca de 1,5 mm é incompatível com uma caixa de 1,75 mm.",A,SRC-0413,,provisional,2026-09-21,"Declaração de Julien Boillat. Número útil como referência de escala para os comandos frontais."
CLM-0425,WND,"O comando de corda tem um limitador de torque para impedir corda forçada (quebra de haste, mola sobretensionada).",A,"SRC-0412,SRC-0413",,provisional,2026-09-21,"Declaração de Boillat. Implica peça de embreagem/fricção ainda não localizada visualmente (Q-WND-001)."
CLM-0426,WND,"As coroas são de aço inoxidável com inserto de cerâmica preta na periferia; a vedação usa um aro fino de cerâmica no lugar da borracha usual em torno do eixo.",B,"SRC-0403,SRC-0404",,provisional,2026-09-21,"Duas matérias japonesas independentes. A estanqueidade de 10 m viria do encaixe das peças usinadas ao mícron, não de um anel elastomérico no eixo."
CLM-0427,CASE,"O movimento é um movimento independente montado dentro da caixa (a tampa NÃO serve de platina), e a caixa funciona como porta-movimento, formando com ele uma unidade rígida.",A,"SRC-0412,SRC-0400,SRC-0402,SRC-0419,SRC-0410",,provisional,2026-09-21,"Ponto em que a RM se separa deliberadamente do Piaget AUC e do Bulgari Octo Finissimo Ultra. Contradiz a afirmação de SRC-0414, que está errada."
CLM-0428,CASE,"A face interna da parte inferior da caixa tem um rebaixo raso usinado que recebe o barrilete e o trem de marcha.",B,SRC-0400,,provisional,2026-09-21,"Existência observada; profundidade NÃO observada. Forster arrisca talvez 0,05 mm, o que é classe E e não pode entrar no Z-budget como medida (Q-CASE-001)."
CLM-0429,CASE,"Um cilindro roscado situado no meio do movimento, perto do canto superior direito do barrilete, recebe um dos parafusos que unem as duas metades da caixa, travando caixa e movimento como corpo único e impedindo flexão central.",B,SRC-0400,,provisional,2026-09-21,"Interface mecânica central e muito restritiva para a planta da platina: exige um furo passante no movimento em posição determinável por foto."
CLM-0430,CASE,"Certos segmentos da caixa foram reduzidos a 0,18 mm de espessura.",A,SRC-0413,,provisional,2026-09-21,"Declaração de Boillat; não diz QUAIS segmentos (Q-CASE-002). Provável piso de espessura de parede para a Fase 4."
CLM-0431,CASE,"A caixa é uma estrutura de caixa e tampa, com a tampa fixada sobre o corpo para impedir distorção, e com a abertura do corpo reduzida ao mínimo para ganhar robustez.",D,SRC-0404,,provisional,2026-09-21,"Leitura de Hirota após manuseio. Coerente com CLM-0427 e com a nervura periférica de CLM-0434."
CLM-0432,CASE,"O cristal de 0,45 mm foi deixado deliberadamente espesso em relação à caixa e contribui para a rigidez do conjunto.",D,SRC-0404,,provisional,2026-09-21,"Se verdadeiro, o cristal é elemento estrutural, não só proteção: muda a análise de rigidez e o tratamento da interface cristal-caixa."
