part_id,subsystem,name,function,visibility(visible|partial|hidden),evidence_class,status,material_hypothesis,notes
PRT-BRG-001,BRG,Ponte esqueletada de 3 bracos,Fechar tres mancais superiores (provavelmente do trem),partial,B,provisional,titanio grau 5,"Isolada em IMG-0003 (foto) e IMG-0028 (filme, 2o angulo): par de vistas de uma mesma peca rigida. 3 rubis, 2 furos de parafuso, 1 furo liso de pino (CLM-0706). Identidade dos eixos aberta (Q-BRG-002)."
PRT-BRG-002,BRG,Ponte do balanco,Fechar o mancal superior do oscilador,partial,E,hypothetical,titanio grau 5,"Descrita como ponte superior de 3 bracos por SRC-0400, o que conflita com o balanco de 3 bracos publicado pela marca (Q-OSC-003). Geometria so vista em render (IMG-0001)."
PRT-BRG-003,BRG,Ponte ou cobertura do caminho de corda,Fechar os mancais da roda de coroa e do cliquet,hidden,E,hypothetical,titanio grau 5,"Nenhuma evidencia direta. Existe porque as duas rodas de IMG-0026 precisam de mancal superior - mas a forma e desconhecida."
PRT-BAR-001,BAR,Tambor do barrilete,Armazenar energia e transmitir torque ao trem,partial,B,provisional,"titanio ou liga nao publicada","Esqueletado, central, retido so pela periferia (CLM-0401). Dentado com involuta central 20 graus. Diametro e dentes desconhecidos (Q-BAR-001). Dentado parcialmente resolvido em IMG-0029."
PRT-BAR-002,BAR,Arbor do barrilete,Ancorar o centro da mola e receber o torque de corda,hidden,E,hypothetical,aco,"Retencao axial desconhecida, ja que nao ha receptaculo acima nem abaixo (Q-BAR-003)."
PRT-BAR-003,BAR,Tampa do barrilete,Fechar o tambor,hidden,E,hypothetical,-,"PODE NAO EXISTIR na forma classica: sem receptaculo acima nem abaixo, a arquitetura de fechamento e desconhecida. Nao modelar sem status."
PRT-BAR-004,BAR,Mola principal,Fornecer 45 h +/- 10% em 7;5 voltas uteis,hidden,A,provisional,aco de mola,"Existencia e 'espessura extremamente reduzida' publicadas (A). Geometria totalmente desconhecida (Q-BAR-005). Modelar como geometry-reconstruction + functional-surrogate separados (CLAUDE.md Fase 6)."
PRT-BAR-005,BAR,Apoio periferico do barrilete (x4?),Reter e guiar o tambor pela periferia,partial,B,contested,berilio-cobre (SRC-0403),"Quatro buchas de BeCu (Chronos) x roletes (Hodinkee): mesma peca com dois nomes, ou duas pecas? H-BAR-101 / Q-BAR-002. Quantidade '4' vem de uma so fonte."
PRT-WND-001,WND,Coroa-roda de execucao (7h-8h),Executar a funcao selecionada: dar corda ou acertar a hora,visible,A,confirmed,"aco inox 316L com inserto de ceramica (SRC-0403); ficha tecnica menciona DLC (Q-WND-002)","Nao e coroa no sentido classico: e uma roda do proprio calibre integrada a caixa (CLM-0036). Isolada em IMG-0004; macro em IMG-0006/IMG-0032."
PRT-WND-002,WND,Coroa-roda de selecao (10h-11h),Selecionar entre W (corda) e H (acerto),visible,A,confirmed,idem PRT-WND-001,"Mesmo desenho e mesmo encaixe spline de PRT-WND-001 (CLM-0709): uma familia de peca, duas instancias - a confirmar dimensionalmente (Q-WND-005)."
PRT-WND-003,WND,Roda de coroa,Transmitir o torque de corda ate o cliquet/barrilete,visible,B,provisional,nao publicado,"Montada sobre a platina nua no prolongamento esquerdo (IMG-0026, CLM-0705). Identificacao FUNCIONAL, nao declarada pelo fabricante (Q-IMG-005)."
PRT-WND-004,WND,Roda de cliquet (ratchet),Acionar o arbor do barrilete no sentido da corda,visible,B,provisional,nao publicado,"Idem PRT-WND-003. Menor, engrenada na roda de coroa."
PRT-WND-005,WND,Cliquet e mola de retencao,Impedir o retorno da mola durante a corda,hidden,E,hypothetical,aco,"Nenhuma evidencia. Existe por necessidade funcional - status hipotetico obrigatorio."
PRT-WND-006,WND,Limitador de torque,Impedir corda forcada,hidden,A,provisional,nao publicado,"Existencia declarada por Boillat (CLM-0425). Principio desconhecido: embreagem por friccao, mola deslizante ou catraca (Q-WND-004)."
PRT-WND-007,WND,Ferramenta spline dedicada,Operar os dois comandos frontais,visible,A,confirmed,nao publicado,"Entregue com o relogio; encaixe de cinco entalhes. Fora do envelope do relogio, mas define a geometria do encaixe das coroas."
PRT-WND-008,WND,Aro de ceramica de vedacao,Vedar o eixo de cada comando,partial,B,provisional,ceramica,"Duas fontes japonesas independentes; substitui a borracha usual (CLM-0426)."
PRT-SEL-001,SEL,Braco deslizante do seletor,"Engatar o trem de corda (W) ou o de acerto (H), desacoplando o barrilete em H",partial,B,provisional,nao publicado,"Observado em stills do filme oficial (CLM-0422). Curso, batentes e acionamento desconhecidos (Q-SEL-001)."
PRT-SEL-002,SEL,Came ou excentrico do seletor,Converter a rotacao da coroa de selecao em translacao do braco,hidden,E,hypothetical,nao publicado,"Nenhuma evidencia direta. Alternativa: alavanca. A EP4295198B1 e parente conceitual, nao prova (Q-SEL-004)."
PRT-SEL-003,SEL,Mola de posicionamento / detent,Manter o braco em W ou em H,hidden,E,hypothetical,aco,"Nenhuma evidencia. Existencia de posicao neutra e questao aberta (Q-SEL-002)."
PRT-TRN-001,TRN,Roda intermediaria de transmissao,Transmitir do barrilete a segunda roda,partial,B,provisional,nao publicado,"CLM-0406 (Chronos JP). Razao aparente 1:1, em formulacao de conjetura (Q-TRN-004). Aritmeticamente se comporta como idler."
PRT-TRN-002,TRN,Segunda roda + pinhao,Primeiro estagio de multiplicacao,partial,B,provisional,"latao rodinado antes do corte dos dentes (acabamento publicado)","Fotografada na pinca por SRC-0403. Dentes e modulo desconhecidos (Q-TRN-002)."
PRT-TRN-003,TRN,Terceira roda + pinhao,Estagio seguinte de multiplicacao,hidden,D,provisional,idem,"Existencia inferida pela razao total necessaria. A ficha tecnica atribui involuta 20 graus ao 'pinhao da terceira roda', com nomenclatura divergente entre idiomas (Q-TRN-001)."
PRT-TRN-004,TRN,Quarta roda + pinhao,Ultimo estagio antes do escape (se existir),hidden,E,hypothetical,idem,"O numero de estagios e aberto (Q-TRN-003). Sem ponteiro de segundos, nada obriga esta roda a 1 volta/min."
PRT-ESC-001,ESC,Roda de escape,Entregar impulso ao oscilador 4 vezes por segundo,partial,B,provisional,nao publicado,"Dentes em clave 'praticamente convencionais' (CLM-0409). Numero de dentes desconhecido (Q-ESC-001): 15/18/20 sao candidatos, e cada um fixa uma razao total diferente."
PRT-ESC-002,ESC,Ancora sem dardo,"Travar, destravar e dar impulso; exercer tambem a funcao anti-renversement pelas cornas",partial,A,provisional,"aco; pecas de pallet em rubi","Fourchette alongada com cornes modificadas (A). Pivo entre as duas pedras (CLM-0413). Bate contra entalhe na platina (CLM-0412). Silhueta so obtenivel por fotografia - a figura 5 da patente mostra que a forma e livre."
PRT-ESC-003,ESC,Pedra de entrada (pallet),Travar e receber impulso do dente de entrada,hidden,A,provisional,rubi,"Geometria declaradamente alterada para travamento seguro; angulos desconhecidos (Q-ESC-002)."
PRT-ESC-004,ESC,Pedra de saida (pallet),Travar e receber impulso do dente de saida,hidden,A,provisional,rubi,idem PRT-ESC-003.
PRT-ESC-005,ESC,Plateau unico,"Carregar a cheville e oferecer a parede cilindrica anti-renversement com um entalhe",hidden,D,provisional,nao publicado,"Topologia vinda da reivindicacao 1 da familia CH832/2019. PODE NAO EXISTIR como peca separada: a reiv. 5 preve a cheville carregada diretamente pelo balanco (Q-ESC-006, H-ESC-011)."
PRT-ESC-006,ESC,Cheville (pedra de impulso),Transmitir o impulso entre ancora e oscilador,hidden,D,provisional,rubi,"Presa ao plateau (reiv. 4) ou ao proprio balanco (reiv. 5). A escolha muda um nivel inteiro do Z-budget do oscilador."
PRT-ESC-007,ESC,Entalhe de banking na platina (feature),Limitar o debate da ancora,partial,B,provisional,-,"CLM-0412. A patente preve goupilles (reiv. 10) e o press kit fala em banking 'na forquilha': tres descricoes a conciliar (Q-ESC-004). Procurar em IMG-0026."
PRT-OSC-001,OSC,Balanco de 3 bracos,Oscilar a 4 Hz com 3 mg.cm2 de inercia,partial,A,confirmed,titanio grau 5 (publicado),"Bracos com degrau que aproxima a espiral do plano do balanco (CLM-0417). Diametro e secao desconhecidos (Q-OSC-001). Primeiro balanco em titanio da marca."
PRT-OSC-002,OSC,Massa de regulagem (x6),Regular sem indice de raquete,partial,A,confirmed,nao publicado,"Seis, montadas diretamente no balanco. Massa e geometria individuais desconhecidas: 3 mg.cm2 e uma equacao com muitas incognitas."
PRT-OSC-003,OSC,Eixo do balanco (staff),Apoiar o oscilador nos dois mancais antichoque,hidden,E,hypothetical,aco,"Nenhuma imagem. Comprimento e diametro derivarao do Z-budget e do Kif."
PRT-OSC-004,OSC,Espiral AK 3,Fornecer o torque de restituicao,hidden,A,provisional,liga AK 3 (produto publicado),"Plana, sem overcoil, por imposicao de altura (CLM-0416). 'AK 3' identifica o produto, nao a geometria (Q-OSC-002)."
PRT-OSC-005,OSC,Virola,Fixar a espiral ao eixo,hidden,E,hypothetical,nao publicado,Nenhuma evidencia.
PRT-OSC-006,OSC,Piton / porta-espiral,Fixar a extremidade externa da espiral,hidden,E,hypothetical,nao publicado,"Nenhuma evidencia. Sem raquete, o porta-espiral e provavelmente fixo."
PRT-IND-001,IND,Roda porta-ponteiro dos minutos,Girar 1 volta por hora e carregar o ponteiro dos minutos,partial,B,provisional,nao publicado,"O ponteiro e decalcado diretamente sobre ela, sem canhao (CLM-0037 + IMG-0031)."
PRT-IND-002,IND,Roda porta-ponteiro das horas,Girar 1 volta por 12 h e carregar o ponteiro das horas,partial,B,provisional,nao publicado,"Dentado fino visivel em IMG-0031. Coaxialidade com PRT-IND-001 em aberto (Q-IND-002)."
PRT-IND-003,IND,Ponteiro das horas,Indicar a hora,visible,A,confirmed,nao publicado,"Lamina plana sem canhao; visto de perfil sobre a pinca em IMG-0030."
PRT-IND-004,IND,Ponteiro dos minutos,Indicar os minutos,visible,A,confirmed,nao publicado,idem PRT-IND-003.
PRT-IND-005,IND,Roda(s) da razao 12:1,Realizar a relacao entre minuto e hora no plano,hidden,E,hypothetical,nao publicado,"Existe por necessidade aritmetica; topologia totalmente desconhecida (Q-IND-001). Nao modelar como motion works classico."
PRT-IND-006,IND,Marcacao das horas (12/3/6/9),Referencia de leitura,visible,B,provisional,-,"Visivel em IMG-0036 e IMG-0009. Nao esta estabelecido se e disco, anel ou gravacao no cristal."
PRT-JWL-000,JWL,Familia de 23 rubis,Reduzir atrito nos pivos,partial,A,provisional,rubi sintetico,"Contagem publicada (23); distribuicao NAO publicada (Q-JWL-001). 3 localizados na ponte PRT-BRG-001; rubis soltos em IMG-0005. Cada rubi ganha part_id proprio quando for localizado."
PRT-SHK-001,SHK,Conjunto antichoque Kif,Proteger o oscilador contra choque,hidden,A,provisional,-,"Existencia publicada. Modelo, quantidade (so o balanco? tambem a roda de escape?) e posicao desconhecidos (Q-SHK-001)."
PRT-FST-001,FST,Parafuso spline de caixa (x13),Montar caixa e pulseira,visible,A,confirmed,titanio grau 5,"13 publicados; SRC-0405 conta 12 (Q-FST-001). Cabeca de cinco entalhes (SRC-0400). Diametro e passo desconhecidos (Q-FST-002)."
PRT-FST-002,FST,Arruela 316L (x13?),Resistir a abrasao sob a cabeca do parafuso,partial,A,provisional,aco inox 316L,"Publicadas como 'abrasion-resistant washers'. Quantidade presumida igual a dos parafusos - presuncao, nao dado."
PRT-FST-003,FST,Parafuso de ponte,Fixar as pontes a platina,partial,B,provisional,titanio ou aco,"Dois furos de parafuso na ponte de 3 bracos (CLM-0706). Quantidade total desconhecida (Q-FST-003)."
PRT-FST-004,FST,Pino de centragem,Posicionar a ponte antes do aperto,partial,B,provisional,aco,"Um furo liso na ponte de 3 bracos, lido como assento de pino."
PRT-STR-001,STR,Pulseira,Fixar o relogio ao pulso,visible,B,provisional,nao publicado,"Nenhuma fonte primaria localizada descreve material ou construcao (Q-STR-001)."
PRT-STR-002,STR,Interface de pulseira (orelhas/encaixes),Ancorar a pulseira a caixa,visible,A,provisional,titanio grau 5,"Presa pelos mesmos 13 parafusos (CLM-0053): nao e subsistema separavel do fecho da caixa. Recortes visiveis na borda em IMG-0007."
